date,population_growth,urbanization_rate,fossil_fuel_consumption,electricity_demand,co2_emissions,methane_emissions,forest_cover_loss,trade_volume,military_spending,global_temp_anomaly,ocean_heat_content,enso_index,extreme_weather_freq,drought_index,sea_level_rise,carbon_price_volatility,climate_policy_uncertainty,disaster_freq_volatility,temp_anomaly_variance
1990-01-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.4685394041971693,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-02-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.17396922010840477,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-03-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.4317181311860738,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-04-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.5053606772082649,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-05-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.24761176613059588,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-06-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.30284367564723924,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-07-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.6342351327470994,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-08-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.4317181311860738,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-09-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.4777447224499432,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
1990-10-01,1.146213504078883,1.8388209388243226,0.058638450205473466,-0.42363538386487865,-0.021164773166657862,-1.3678073732524607,0.9858561102341148,-0.33292274564916036,1.6546884487780933,-0.05212417483537956,1.4670323585059264,-0.6710564057581949,0.7354356523154929,1.2376917891629866,-0.06629064795148472,0.0,2.0809676055313173,-0.010196238809623266,0.6570602028876148
