,disaster_count
2019-07-01,56
2019-08-01,56
2019-09-01,52
2019-10-01,36
2019-11-01,31
2019-12-01,36
2020-01-01,28
2020-02-01,32
2020-03-01,34
2020-04-01,42
2020-05-01,53
2020-06-01,44
2020-07-01,61
2020-08-01,49
2020-09-01,42
2020-10-01,39
2020-11-01,29
2020-12-01,25
2021-01-01,31
2021-02-01,35
2021-03-01,48
2021-04-01,49
2021-05-01,57
2021-06-01,55
2021-07-01,51
2021-08-01,45
2021-09-01,34
2021-10-01,44
2021-11-01,39
2021-12-01,31
2022-01-01,42
2022-02-01,36
2022-03-01,42
2022-04-01,61
2022-05-01,69
2022-06-01,45
2022-07-01,62
2022-08-01,56
2022-09-01,48
2022-10-01,35
2022-11-01,48
2022-12-01,30
2023-01-01,46
2023-02-01,44
2023-03-01,59
2023-04-01,58
2023-05-01,48
2023-06-01,46
2023-07-01,38
2023-08-01,46
2023-09-01,32
2023-10-01,41
2023-11-01,34
2023-12-01,44
