Date,kbw_close
1993-02-01,27.08799934387207
1993-03-01,27.992000579833984
1993-04-01,26.413000106811523
1993-05-01,26.20199966430664
1993-06-01,27.406999588012695
1993-07-01,27.697999954223633
1993-08-01,27.78499984741211
1993-09-01,28.860000610351562
1993-10-01,26.781999588012695
1993-11-01,26.281999588012695
1993-12-01,27.267000198364258
1994-01-01,28.415000915527344
1994-02-01,27.19499969482422
1994-03-01,26.31800079345703
1994-04-01,27.240999221801758
1994-05-01,28.849000930786133
1994-06-01,28.04199981689453
1994-07-01,28.60700035095215
1994-08-01,29.601999282836914
1994-09-01,27.288999557495117
1994-10-01,27.863000869750977
1994-11-01,25.76799964904785
1994-12-01,25.475000381469727
1995-01-01,26.976999282836914
1995-02-01,28.716999053955078
1995-03-01,28.256000518798828
1995-04-01,29.402000427246094
1995-05-01,32.308998107910156
1995-06-01,32.388999938964844
1995-07-01,33.80500030517578
1995-08-01,35.78200149536133
1995-09-01,37.73400115966797
1995-10-01,36.87300109863281
1995-11-01,39.50899887084961
1995-12-01,39.3849983215332
1996-01-01,40.55500030517578
1996-02-01,42.474998474121094
1996-03-01,43.41999816894531
1996-04-01,42.74399948120117
1996-05-01,43.68600082397461
1996-06-01,43.119998931884766
1996-07-01,43.28099822998047
1996-08-01,45.05099868774414
1996-09-01,47.80400085449219
1996-10-01,51.49300003051758
1996-11-01,56.56700134277344
1996-12-01,53.768001556396484
1997-01-01,57.98099899291992
1997-02-01,60.63199996948242
1997-03-01,56.08599853515625
1997-04-01,59.16299819946289
1997-05-01,60.65299987792969
1997-06-01,63.323001861572266
1997-07-01,71.38700103759766
1997-08-01,67.02799987792969
1997-09-01,71.81400299072266
1997-10-01,70.30999755859375
1997-11-01,72.67500305175781
1997-12-01,75.53500366210938
1998-01-01,72.16699981689453
1998-02-01,79.25800323486328
1998-03-01,84.81400299072266
1998-04-01,86.48600006103516
1998-05-01,83.7030029296875
1998-06-01,85.35700225830078
1998-07-01,86.27799987792969
1998-08-01,64.16400146484375
1998-09-01,65.30000305175781
1998-10-01,74.3239974975586
1998-11-01,78.8479995727539
1998-12-01,80.52100372314453
1999-01-01,81.50700378417969
1999-02-01,82.29100036621094
1999-03-01,84.59500122070312
1999-04-01,92.08899688720703
1999-05-01,84.44499969482422
1999-06-01,89.58899688720703
1999-07-01,82.88700103759766
1999-08-01,79.47599792480469
1999-09-01,75.26399993896484
1999-10-01,88.41899871826172
1999-11-01,82.79900360107422
1999-12-01,76.99500274658203
2000-01-01,76.51300048828125
2000-02-01,67.58699798583984
2000-03-01,79.53900146484375
2000-04-01,76.05000305175781
2000-05-01,82.98300170898438
2000-06-01,73.26100158691406
2000-07-01,80.05699920654297
2000-08-01,89.55699920654297
2000-09-01,88.77300262451172
2000-10-01,87.05599975585938
2000-11-01,82.37999725341797
2000-12-01,90.14199829101562
2001-01-01,95.81700134277344
2001-02-01,88.23899841308594
2001-03-01,85.8290023803711
2001-04-01,87.51799774169922
2001-05-01,91.72899627685547
2001-06-01,90.99700164794922
2001-07-01,90.83399963378906
2001-08-01,85.58000183105469
2001-09-01,79.27899932861328
2001-10-01,77.5250015258789
2001-11-01,83.29000091552734
2001-12-01,86.01399993896484
2002-01-01,84.65399932861328
2002-02-01,82.34300231933594
2002-03-01,89.77200317382812
2002-04-01,87.48500061035156
2002-05-01,88.13999938964844
2002-06-01,82.96199798583984
2002-07-01,75.6500015258789
2002-08-01,78.63700103759766
2002-09-01,69.70899963378906
2002-10-01,76.34300231933594
2002-11-01,78.60700225830078
2002-12-01,74.7969970703125
2003-01-01,73.86900329589844
2003-02-01,71.85800170898438
2003-03-01,70.74400329589844
2003-04-01,79.23799896240234
2003-05-01,83.45800018310547
2003-06-01,85.75599670410156
2003-07-01,88.84100341796875
2003-08-01,87.27899932861328
2003-09-01,87.77200317382812
2003-10-01,94.18599700927734
2003-11-01,94.43900299072266
2003-12-01,97.47799682617188
2004-01-01,99.26899719238281
2004-02-01,101.18699645996094
2004-03-01,100.68000030517578
2004-04-01,95.37999725341797
2004-05-01,96.94999694824219
2004-06-01,96.66999816894531
2004-07-01,94.86000061035156
2004-08-01,99.16000366210938
2004-09-01,97.58000183105469
2004-10-01,99.41999816894531
2004-11-01,101.16999816894531
2004-12-01,104.11000061035156
2005-01-01,101.08000183105469
2005-02-01,100.61000061035156
2005-03-01,96.55000305175781
2005-04-01,97.38999938964844
2005-05-01,98.48999786376953
2005-06-01,99.05999755859375
2005-07-01,99.87999725341797
2005-08-01,98.16999816894531
2005-09-01,96.1500015258789
2005-10-01,99.5
2005-11-01,103.62000274658203
2005-12-01,103.83999633789062
2006-01-01,103.36000061035156
2006-02-01,106.29000091552734
2006-03-01,106.2300033569336
2006-04-01,112.80000305175781
2006-05-01,108.62000274658203
2006-06-01,107.3499984741211
2006-07-01,110.9000015258789
2006-08-01,110.2699966430664
2006-09-01,113.25
2006-10-01,113.80999755859375
2006-11-01,112.63999938964844
2006-12-01,117.5199966430664
2007-01-01,117.9000015258789
2007-02-01,115.5
2007-03-01,113.86000061035156
2007-04-01,116.05999755859375
2007-05-01,117.04000091552734
2007-06-01,112.88999938964844
2007-07-01,105.12000274658203
2007-08-01,106.04000091552734
2007-09-01,106.0
2007-10-01,103.33999633789062
2007-11-01,97.16999816894531
2007-12-01,88.5999984741211
2008-01-01,94.38999938964844
2008-02-01,82.06999969482422
2008-03-01,78.94000244140625
2008-04-01,82.81999969482422
2008-05-01,75.87000274658203
2008-06-01,58.130001068115234
2008-07-01,66.1500015258789
2008-08-01,66.02999877929688
2008-09-01,67.70999908447266
2008-10-01,58.529998779296875
2008-11-01,47.869998931884766
2008-12-01,44.31999969482422
2009-01-01,28.719999313354492
2009-02-01,24.15999984741211
2009-03-01,28.139999389648438
2009-04-01,32.790000915527344
2009-05-01,37.41999816894531
2009-06-01,36.45000076293945
2009-07-01,40.439998626708984
2009-08-01,47.2599983215332
2009-09-01,47.20000076293945
2009-10-01,42.22999954223633
2009-11-01,44.47999954223633
2009-12-01,42.709999084472656
2010-01-01,46.540000915527344
2010-02-01,47.45000076293945
2010-03-01,52.0
2010-04-01,55.720001220703125
2010-05-01,49.939998626708984
2010-06-01,46.119998931884766
2010-07-01,48.63999938964844
2010-08-01,43.45000076293945
2010-09-01,46.20000076293945
2010-10-01,45.4900016784668
