Date,xle_close
1998-12-01,5.755893230438232
1999-01-01,5.378331184387207
1999-02-01,5.332098960876465
1999-03-01,6.064107894897461
1999-04-01,6.986805438995361
1999-05-01,6.8360114097595215
1999-06-01,6.940409183502197
1999-07-01,7.107691287994385
1999-08-01,7.185417175292969
1999-09-01,6.824001789093018
1999-10-01,6.753454685211182
1999-11-01,6.7417449951171875
1999-12-01,6.769070148468018
2000-01-01,6.843846797943115
2000-02-01,6.55411958694458
2000-03-01,7.345000267028809
2000-04-01,7.259612560272217
2000-05-01,8.112068176269531
2000-06-01,7.6288838386535645
2000-07-01,7.373669624328613
2000-08-01,8.17892837524414
2000-09-01,8.277615547180176
2000-10-01,8.087427139282227
2000-11-01,7.663234710693359
2000-12-01,8.420439720153809
2001-01-01,8.17650032043457
2001-02-01,8.077258110046387
2001-03-01,7.812587738037109
2001-04-01,8.645442962646484
2001-05-01,8.563758850097656
2001-06-01,7.746943473815918
2001-07-01,7.693574905395508
2001-08-01,7.367880821228027
2001-09-01,6.621602535247803
2001-10-01,6.927058696746826
2001-11-01,6.540215015411377
2001-12-01,6.885795593261719
2002-01-01,6.668155670166016
2002-02-01,6.896041393280029
2002-03-01,7.481287002563477
2002-04-01,7.236280918121338
2002-05-01,7.10896635055542
2002-06-01,6.807563781738281
2002-07-01,5.899723052978516
2002-08-01,5.9885969161987305
2002-09-01,5.531153202056885
2002-10-01,5.663774013519287
2002-11-01,5.897688388824463
2002-12-01,5.868778705596924
2003-01-01,5.751114368438721
2003-02-01,5.920191764831543
2003-03-01,5.896414756774902
2003-04-01,5.876960754394531
2003-05-01,6.501039505004883
2003-06-01,6.386846542358398
2003-07-01,6.190740585327148
2003-08-01,6.58566427230835
2003-09-01,6.417557239532471
2003-10-01,6.511551856994629
2003-11-01,6.562509059906006
2003-12-01,7.388525009155273
2004-01-01,7.588720321655273
2004-02-01,7.987421035766602
2004-03-01,7.903908729553223
2004-04-01,8.072758674621582
2004-05-01,8.048406600952148
2004-06-01,8.516429901123047
2004-07-01,8.813815116882324
2004-08-01,8.678010940551758
2004-09-01,9.487411499023438
2004-10-01,9.582507133483887
2004-11-01,10.228793144226074
2004-12-01,9.904290199279785
2005-01-01,10.276901245117188
2005-02-01,12.00112533569336
2005-03-01,11.73290729522705
2005-04-01,11.13491153717041
2005-05-01,11.445204734802246
2005-06-01,12.205843925476074
2005-07-01,13.11168098449707
2005-08-01,13.949061393737793
2005-09-01,14.783693313598633
2005-10-01,13.486181259155273
2005-11-01,13.687829971313477
2005-12-01,13.897780418395996
2006-01-01,15.969850540161133
2006-02-01,14.496393203735352
2006-03-01,15.066941261291504
2006-04-01,15.872722625732422
2006-05-01,15.43104076385498
2006-06-01,15.764384269714355
2006-07-01,16.352460861206055
2006-08-01,15.521595001220703
2006-09-01,14.902629852294922
2006-10-01,15.591548919677734
2006-11-01,16.928844451904297
2006-12-01,16.40287208557129
2007-01-01,16.300369262695312
2007-02-01,15.966456413269043
2007-03-01,16.91489601135254
2007-04-01,17.840309143066406
2007-05-01,19.228221893310547
2007-06-01,19.42247772216797
2007-07-01,19.48170280456543
2007-08-01,19.71605110168457
2007-09-01,21.11930274963379
2007-10-01,21.712739944458008
2007-11-01,20.798358917236328
2007-12-01,22.462907791137695
2008-01-01,19.753541946411133
2008-02-01,21.58414077758789
2008-03-01,21.01935386657715
2008-04-01,23.268705368041992
2008-05-01,24.4783992767334
2008-06-01,25.184276580810547
2008-07-01,21.232580184936523
2008-08-01,21.30393409729004
2008-09-01,18.064823150634766
2008-10-01,14.716049194335938
2008-11-01,14.395387649536133
2008-12-01,13.676765441894531
2009-01-01,13.503096580505371
2009-02-01,11.836792945861816
2009-03-01,12.219551086425781
2009-04-01,13.242730140686035
2009-05-01,14.949414253234863
2009-06-01,13.899365425109863
2009-07-01,14.717610359191895
2009-08-01,14.877521514892578
2009-09-01,15.677078247070312
2009-10-01,16.135129928588867
2009-11-01,16.59363555908203
2009-12-01,16.649127960205078
2010-01-01,16.002729415893555
2010-02-01,16.484283447265625
2010-03-01,16.88948631286621
2010-04-01,17.652847290039062
2010-05-01,15.63150691986084
2010-06-01,14.638520240783691
2010-07-01,15.936628341674805
2010-08-01,15.15518569946289
2010-09-01,16.5937442779541
2010-10-01,17.61564064025879
2010-11-01,18.647478103637695
2010-12-01,20.29485321044922
2011-01-01,21.84868812561035
2011-02-01,23.458581924438477
2011-03-01,23.819995880126953
2011-04-01,24.118953704833984
2011-05-01,23.109006881713867
2011-06-01,22.581546783447266
2011-07-01,22.995697021484375
2011-08-01,20.64649200439453
2011-09-01,17.599449157714844
2011-10-01,21.050676345825195
2011-11-01,21.40096664428711
2011-12-01,20.875530242919922
2012-01-01,21.436960220336914
2012-02-01,22.70760154724121
2012-03-01,21.758413314819336
2012-04-01,21.68719482421875
2012-05-01,19.370529174804688
2012-06-01,20.204652786254883
2012-07-01,21.305578231811523
2012-08-01,21.880661010742188
2012-09-01,22.46185302734375
2012-10-01,22.104616165161133
2012-11-01,21.834213256835938
2012-12-01,21.944828033447266
2013-01-01,23.88800811767578
2013-02-01,23.993017196655273
2013-03-01,24.493314743041992
2013-04-01,24.28046417236328
2013-05-01,24.972238540649414
2013-06-01,24.289777755737305
2013-07-01,25.69039535522461
2013-08-01,25.425447463989258
2013-09-01,25.843120574951172
2013-10-01,27.052743911743164
2013-11-01,27.06839942932129
2013-12-01,27.716615676879883
2014-01-01,26.231800079345703
2014-02-01,27.575159072875977
2014-03-01,28.01875877380371
2014-04-01,29.636144638061523
2014-05-01,30.132495880126953
2014-06-01,31.646869659423828
2014-07-01,30.691667556762695
2014-08-01,31.36184310913086
2014-09-01,28.78276824951172
2014-10-01,27.90926742553711
2014-11-01,25.482925415039062
2014-12-01,25.272218704223633
2015-01-01,24.26953887939453
2015-02-01,25.38423728942871
2015-03-01,24.921653747558594
2015-04-01,26.740419387817383
2015-05-01,25.352949142456055
2015-06-01,24.30830955505371
2015-07-01,22.587995529174805
2015-08-01,21.62757110595703
2015-09-01,19.92483901977539
2015-10-01,22.311847686767578
2015-11-01,22.308565139770508
2015-12-01,19.783193588256836
2016-01-01,19.264097213745117
2016-02-01,18.724668502807617
2016-03-01,20.48196792602539
2016-04-01,22.4980411529541
2016-05-01,22.28805923461914
2016-06-01,22.74467658996582
2016-07-01,22.605924606323242
2016-08-01,22.985036849975586
2016-09-01,23.689586639404297
2016-10-01,23.161083221435547
2016-11-01,25.122119903564453
2016-12-01,25.422521591186523
2017-01-01,24.73579216003418
2017-02-01,24.22003173828125
2017-03-01,23.71785545349121
2017-04-01,23.15696144104004
2017-05-01,22.337722778320312
2017-06-01,22.160221099853516
2017-07-01,22.897064208984375
2017-08-01,21.642566680908203
2017-09-01,23.53634262084961
2017-10-01,23.647798538208008
2017-11-01,24.06218147277832
2017-12-01,25.162561416625977
2018-01-01,26.238021850585938
2018-02-01,23.395132064819336
2018-03-01,23.629995346069336
2018-04-01,26.05767250061035
2018-05-01,26.83788299560547
2018-06-01,26.809635162353516
2018-07-01,27.41013526916504
2018-08-01,26.457599639892578
2018-09-01,26.919652938842773
2018-10-01,24.034269332885742
2018-11-01,23.658504486083984
