Date,carbon_price
2020-07-01,14.057075500488281
2020-08-01,15.090185165405273
2020-09-01,14.347615242004395
2020-10-01,13.34004020690918
2020-11-01,15.465611457824707
2020-12-01,16.9976806640625
2021-01-01,17.25302505493164
2021-02-01,18.771291732788086
2021-03-01,19.799571990966797
2021-04-01,22.353017807006836
2021-05-01,23.740161895751953
2021-06-01,25.527576446533203
2021-07-01,24.485492706298828
2021-08-01,27.494421005249023
2021-09-01,28.357072830200195
2021-10-01,28.19144058227539
2021-11-01,33.00849533081055
2021-12-01,35.127159118652344
2022-01-01,36.14949035644531
2022-02-01,33.98551559448242
2022-03-01,32.36253356933594
2022-04-01,32.87578582763672
2022-05-01,34.10342025756836
2022-06-01,34.14503860473633
2022-07-01,30.54534912109375
2022-08-01,30.358083724975586
2022-09-01,25.80124855041504
2022-10-01,30.094518661499023
2022-11-01,31.4053897857666
2022-12-01,25.294933319091797
2023-01-01,33.401920318603516
2023-02-01,34.24646759033203
2023-03-01,33.48637771606445
2023-04-01,32.89519119262695
2023-05-01,30.488224029541016
2023-06-01,32.02530288696289
2023-07-01,34.244136810302734
2023-08-01,33.63609313964844
2023-09-01,31.838415145874023
2023-10-01,31.891281127929688
2023-11-01,30.85144805908203
2023-12-01,32.15565490722656
