date,anomaly
2011-02-01,0.47
2011-03-01,0.65
2011-04-01,0.64
2011-05-01,0.53
2011-06-01,0.62
2011-07-01,0.7
2011-08-01,0.75
2011-09-01,0.55
2011-10-01,0.65
2011-11-01,0.59
2011-12-01,0.6
2012-01-01,0.47
2012-02-01,0.48
2012-03-01,0.56
2012-04-01,0.72
2012-05-01,0.78
2012-06-01,0.64
2012-07-01,0.59
2012-08-01,0.66
2012-09-01,0.72
2012-10-01,0.79
2012-11-01,0.78
2012-12-01,0.52
2013-01-01,0.71
2013-02-01,0.61
2013-03-01,0.67
2013-04-01,0.53
2013-05-01,0.6
2013-06-01,0.69
2013-07-01,0.6
2013-08-01,0.7
2013-09-01,0.76
2013-10-01,0.69
2013-11-01,0.83
2013-12-01,0.7
2014-01-01,0.76
2014-02-01,0.55
2014-03-01,0.78
2014-04-01,0.81
2014-05-01,0.86
2014-06-01,0.67
2014-07-01,0.58
2014-08-01,0.83
2014-09-01,0.88
2014-10-01,0.8
2014-11-01,0.67
2014-12-01,0.78
2015-01-01,0.86
2015-02-01,0.91
2015-03-01,0.96
2015-04-01,0.75
2015-05-01,0.8
2015-06-01,0.81
2015-07-01,0.73
2015-08-01,0.79
2015-09-01,0.83
2015-10-01,1.07
2015-11-01,1.06
2015-12-01,1.17
2016-01-01,1.18
2016-02-01,1.36
2016-03-01,1.35
2016-04-01,1.08
2016-05-01,0.95
2016-06-01,0.8
2016-07-01,0.84
2016-08-01,1.01
2016-09-01,0.9
2016-10-01,0.86
2016-11-01,0.91
2016-12-01,0.86
2017-01-01,1.02
2017-02-01,1.13
2017-03-01,1.16
2017-04-01,0.93
2017-05-01,0.91
2017-06-01,0.71
2017-07-01,0.82
2017-08-01,0.87
2017-09-01,0.74
2017-10-01,0.88
2017-11-01,0.87
2017-12-01,0.93
2018-01-01,0.82
2018-02-01,0.84
2018-03-01,0.88
2018-04-01,0.88
2018-05-01,0.81
2018-06-01,0.76
2018-07-01,0.83
2018-08-01,0.78
2018-09-01,0.8
2018-10-01,1.01
2018-11-01,0.83
2018-12-01,0.93
2019-01-01,0.93
2019-02-01,0.95
2019-03-01,1.17
2019-04-01,1.01
2019-05-01,0.86
2019-06-01,0.9
2019-07-01,0.94
2019-08-01,0.95
2019-09-01,0.93
2019-10-01,1.0
2019-11-01,0.99
2019-12-01,1.11
2020-01-01,1.17
2020-02-01,1.24
2020-03-01,1.18
2020-04-01,1.12
2020-05-01,0.99
2020-06-01,0.91
2020-07-01,0.89
2020-08-01,0.86
2020-09-01,0.96
2020-10-01,0.87
2020-11-01,1.08
2020-12-01,0.8
2021-01-01,0.81
2021-02-01,0.64
2021-03-01,0.89
2021-04-01,0.76
2021-05-01,0.79
2021-06-01,0.85
2021-07-01,0.92
2021-08-01,0.81
2021-09-01,0.92
2021-10-01,0.98
2021-11-01,0.92
2021-12-01,0.88
2022-01-01,0.91
2022-02-01,0.89
2022-03-01,1.04
2022-04-01,0.83
2022-05-01,0.84
2022-06-01,0.92
2022-07-01,0.94
2022-08-01,0.94
2022-09-01,0.88
2022-10-01,0.97
2022-11-01,0.73
2022-12-01,0.79
2023-01-01,0.87
2023-02-01,0.97
2023-03-01,1.23
2023-04-01,0.99
2023-05-01,0.94
2023-06-01,1.08
2023-07-01,1.19
2023-08-01,1.19
2023-09-01,1.48
2023-10-01,1.34
2023-11-01,1.4
2023-12-01,1.35
