date,vix,ted_spread,term_spread,baa_rate,aaa_rate,cpu_index
1990-01-01,23.347272727272728,0.7109523809523809,0.12142857142857141,9.94,8.99,100.35918
1990-02-01,23.262631578947367,0.6242105263157894,0.10263157894736842,10.14,9.22,89.59095
1990-03-01,20.062272727272727,0.5936363636363636,-0.038181818181818185,10.21,9.37,86.06529
1990-04-01,21.4035,0.7947368421052632,0.0615,10.3,9.46,76.6617
1990-05-01,18.097727272727273,0.7357142857142857,0.11590909090909092,10.41,9.47,118.53795
1990-06-01,16.82238095238095,0.6247619047619047,0.12904761904761905,10.22,9.26,120.52674
1990-07-01,18.392857142857142,0.5961904761904762,0.3142857142857143,10.2,9.24,111.56962
1990-08-01,28.175217391304347,0.6481818181818182,0.691304347826087,10.41,9.41,142.16524
1990-09-01,29.10736842105263,0.8373684210526315,0.8136842105263158,10.64,9.56,157.69529
1990-10-01,29.625652173913043,1.0031818181818182,0.8418181818181818,10.74,9.53,141.11953
1990-11-01,24.885714285714286,1.1099999999999999,0.7935,10.62,9.3,145.29094
1990-12-01,23.363,1.1689473684210527,0.761,10.43,9.05,134.48512
1991-01-01,27.429090909090913,1.118095238095238,0.9676190476190476,10.45,9.04,175.65861
1991-02-01,21.59842105263158,0.7726315789473684,0.9878947368421053,10.07,8.83,115.21345
1991-03-01,17.74421052631579,0.6645000000000001,1.0070000000000001,10.09,8.93,116.02571
1991-04-01,17.37272727272727,0.5814285714285714,1.0909090909090908,9.94,8.86,107.24167
1991-05-01,16.93227272727273,0.5961904761904762,1.2840909090909092,9.86,8.86,94.75868
1991-06-01,17.134999999999998,0.6345,1.328,9.96,9.01,96.9376
1991-07-01,17.294090909090908,0.5613636363636364,1.355,9.89,9.0,93.53158
1991-08-01,15.681363636363637,0.44190476190476186,1.466818181818182,9.65,8.75,100.59554
1991-09-01,16.9565,0.39699999999999996,1.4685000000000001,9.51,8.61,117.04782
1991-10-01,16.36391304347826,0.4786363636363636,1.615,9.49,8.55,105.54142
1991-11-01,17.773500000000002,0.5205263157894737,1.858421052631579,9.45,8.48,122.24914
1991-12-01,18.347619047619048,0.5189999999999999,2.0628571428571427,9.26,8.31,139.99912
1992-01-01,17.68318181818182,0.3771428571428571,2.0742857142857143,9.13,8.2,109.20085
1992-02-01,17.47736842105263,0.32999999999999996,2.1257894736842107,9.23,8.29,125.53676
1992-03-01,17.520454545454545,0.3527272727272727,1.8572727272727272,9.25,8.35,91.70582
1992-04-01,16.562857142857144,0.4175,2.136190476190476,9.21,8.33,87.58229
1992-05-01,15.077000000000002,0.32842105263157895,2.1665,9.13,8.28,96.87494
1992-06-01,15.203181818181816,0.3381818181818182,2.213636363636364,9.05,8.22,122.34916
1992-07-01,13.601818181818182,0.305,2.489090909090909,8.84,8.07,120.91493
1992-08-01,14.421904761904763,0.3265,2.392857142857143,8.65,7.95,115.90751
1992-09-01,13.696666666666667,0.37666666666666665,2.520952380952381,8.62,7.92,127.01963
1992-10-01,17.63681818181818,0.5757142857142857,2.5061904761904765,8.84,7.99,138.52178
1992-11-01,14.4245,0.6647368421052632,2.2936842105263158,8.96,8.1,118.77686
1992-12-01,12.191363636363635,0.41904761904761906,2.096363636363636,8.81,7.98,106.86792
1993-01-01,12.409,0.3468421052631579,2.21,8.67,7.91,102.53033
1993-02-01,13.72157894736842,0.31,2.1605263157894736,8.39,7.71,119.96253
1993-03-01,13.60608695652174,0.2886956521739131,2.0256521739130435,8.15,7.58,121.55786
1993-04-01,12.840952380952379,0.3585,2.131904761904762,8.14,7.46,109.25684
1993-05-01,13.606,0.2826315789473684,2.0585,8.21,7.43,133.58967
1993-06-01,12.524090909090908,0.26590909090909093,1.799090909090909,8.07,7.33,126.04877
1993-07-01,11.50047619047619,0.2580952380952381,1.7333333333333332,7.93,7.17,117.5845
1993-08-01,11.928636363636365,0.24238095238095236,1.6763636363636365,7.6,6.85,106.03237
1993-09-01,12.931428571428572,0.26571428571428574,1.512857142857143,7.34,6.66,106.27469
1993-10-01,11.875238095238094,0.3735,1.4594999999999998,7.31,6.67,84.48769
1993-11-01,14.083809523809524,0.384,1.5685,7.66,6.93,84.55661
1993-12-01,11.356363636363637,0.321,1.5618181818181818,7.69,6.93,77.52033
1994-01-01,11.29047619047619,0.3005263157894737,1.6105,7.65,6.92,80.0098
1994-02-01,13.64421052631579,0.29526315789473684,1.4989473684210526,7.76,7.08,94.5927
1994-03-01,15.223478260869564,0.3756521739130435,1.4873913043478262,8.13,7.48,87.00632
1994-04-01,16.471052631578946,0.4444444444444444,1.4226315789473685,8.52,7.88,100.41637
1994-05-01,13.897142857142857,0.49399999999999994,1.2152380952380952,8.62,7.99,96.5273
1994-06-01,13.408636363636363,0.4986363636363636,1.17,8.65,7.97,92.37979
1994-07-01,12.4845,0.5245,1.168,8.8,8.11,85.37095
1994-08-01,11.889130434782608,0.4436363636363636,1.058695652173913,8.74,8.07,92.82606
1994-09-01,13.233333333333333,0.5085714285714286,1.0647619047619048,8.98,8.34,90.63002
1994-10-01,15.245238095238093,0.675,1.0154999999999998,9.2,8.57,76.49899
1994-11-01,16.383809523809525,0.592,0.8065,9.32,8.68,91.77528
1994-12-01,14.177142857142858,0.7855,0.22428571428571428,9.1,8.46,91.795
1995-01-01,12.274285714285714,0.6335,0.2725,9.08,8.46,107.95494
1995-02-01,11.47,0.4921052631578947,0.35789473684210527,8.85,8.26,86.32307
1995-03-01,12.166521739130435,0.5391304347826087,0.42913043478260865,8.7,8.12,78.09662
1995-04-01,12.442631578947369,0.581111111111111,0.4947368421052632,8.6,8.03,65.99178
1995-05-01,12.265909090909092,0.4547619047619048,0.46181818181818185,8.2,7.65,74.70236
1995-06-01,11.896818181818183,0.5336363636363637,0.4522727272727272,7.9,7.3,79.67356
1995-07-01,12.514,0.47000000000000003,0.49799999999999994,8.04,7.41,83.03811
1995-08-01,12.798260869565217,0.5018181818181818,0.5073913043478261,8.19,7.57,66.76376
1995-09-01,12.057,0.585,0.3915,7.93,7.32,75.22518
