date,population_growth,urbanization_rate,fossil_fuel_consumption,electricity_demand,trade_volume,forest_cover_loss,military_spending_pct_gdp
1990-01-01,1.74350563960908,2.13242839550469,81.5675051529756,2092.76012813381,38.0113644376855,,3.32894989544945
1991-01-01,1.67016640936763,2.44795498307034,81.2059532363715,2117.40059785878,37.8801062480637,,3.0341297729131
1992-01-01,1.63137862383159,2.28430702463384,80.9180037662498,2100.43930758561,40.7496338637159,33.0058502755487,2.95188557466463
1993-01-01,1.58770638741258,2.2246006857615,80.7742825718067,2105.22205237555,40.2814952073462,32.8229368636513,2.78083750929407
1994-01-01,1.53493353707536,2.19454500776519,80.5723574224264,2127.98906591337,41.2239847654856,32.765567901761,2.59726521872388
1995-01-01,1.50436912788474,2.17584487231993,80.4877312875125,2159.76723526955,42.9284704406154,32.7059360687426,2.36819806372912
1996-01-01,1.48991794939767,2.59270374540418,80.527530838388,2197.19444936785,43.0445299864414,32.645644844447,2.29372365710732
1997-01-01,1.46369226127075,2.57071394646657,80.6258834021479,2217.43467465234,44.8358797233114,32.5674589530177,2.30351545540121
1998-01-01,1.43793207899514,2.53293936651371,80.4875677336709,2235.81436287875,45.4565290032172,32.5137430222582,2.24722488238228
1999-01-01,1.39765640716195,2.46403771312991,80.4911382758157,2265.63191921674,45.9195943612382,32.4516216956723,2.2013098585886
2000-01-01,1.36404895949606,2.53883302951437,80.8278775969695,2332.25086030868,50.3042044081245,32.373759569026,2.19279532924647
2001-01-01,1.34165162815845,2.32974333638751,81.0052684439256,2323.52855150984,49.1765384120151,32.3344314178347,2.22728406765288
2002-01-01,1.3115061913544,2.40736278769285,81.1401236089377,2376.10209812802,49.1934640328003,32.2953595345931,2.32921912501455
2003-01-01,1.29060526621754,2.40842504764002,81.6608384894917,2437.87309927269,50.847305786992,32.2539212599977,2.38842419251385
2004-01-01,1.28688842293725,2.31951166627409,81.8031759980872,2512.07052788095,54.4024779622624,32.1772151348171,2.38765412344928
2005-01-01,1.27133339350377,2.27476487008662,81.929117004726,2593.33304438215,56.4475477827097,32.1369399989646,2.39059168502074
2006-01-01,1.27134792688689,2.30640701958425,82.0455843514028,2669.55818658304,58.5905535284741,32.0985781567973,2.34992422352905
2007-01-01,1.26097512804704,2.3443108264309,82.4537647436558,2752.74051261205,58.966375474231,32.0594407969041,2.31100176012785
2008-01-01,1.26740736480615,2.18494709071276,82.3584922591624,2773.84201948606,60.5698143010809,32.0242370807185,2.37247579108089
2009-01-01,1.2522886025983,2.21782133506796,82.1012222619066,2726.93494104079,52.0809900200333,31.9854288136139,2.60276094508988
2010-01-01,1.21683691645466,1.96560658572877,82.4211189693789,2887.64385236618,56.4159468717993,31.9456325774178,2.50458768598385
2011-01-01,1.21879419279509,2.55921704108155,82.8836287249908,2952.78463526265,59.5371105603304,31.911541080106,2.39664839881932
2012-01-01,1.2592544430215,2.13142066010165,82.9195444946916,2979.76430041472,59.3502507190567,31.4712089390986,2.36052984819248
2013-01-01,1.23195143086439,2.20133788702828,82.6614172388857,3035.64707793307,58.7078861767085,31.4370965108556,2.29239361517697
2014-01-01,1.20625179516653,2.09237768876953,82.4700577036637,3080.44028257347,58.1300187518142,31.4027044198949,2.24310250705948
2015-01-01,1.18426555730454,2.13813160729023,82.1816124343686,3081.68481337426,55.7349858105449,31.3672852185744,2.24039431287494
2016-01-01,1.16500012197801,2.02297839438771,81.8633895527856,3138.09374397517,53.9114215972707,31.3398157847626,2.19467868817892
2017-01-01,1.13111083254035,1.90195631930978,81.7417256391328,3206.18534308225,55.5882472883587,31.2888985608941,2.14672293656188
2018-01-01,1.08036105447289,1.85936054555143,81.4681560173367,3291.87927206042,57.1241197323954,31.2515001256163,2.12012285558645
2019-01-01,1.04393348684165,1.73812277189811,81.164748212325,3300.2905130117,55.9091127292441,31.2123964792576,2.16488082926072
2020-01-01,0.981789958072561,1.52033812074234,80.4907825301913,3257.17247981568,51.9733628554011,31.1755410752473,2.31140999047742
2021-01-01,0.833796683538021,1.47832087945717,80.7819569146386,3432.44336462311,56.7104814151821,31.1756771274206,2.16493506667304
2022-01-01,0.867762860278982,1.32933928012061,80.6494100260082,3496.50800480977,62.4216664720525,31.1430410787403,2.21511713345646
2023-01-01,0.92830559485171,1.34729535940632,80.4052842978741,3557.98382145796,58.1981732430475,,2.3087477533184
